"unigram","bigram","freq"
"got","good",2
"got","got",2
"got","lucky",2
"got","married",2
"got","new",2
"got","one",2
"got","right",2
"got","tickets",2
"gotta","get",2
"gotta","go",2
"government","will",2
"grade","school",2
"grateful","dead",2
"great","article",2
"great","conversation",2
"great","friends",2
"great","just",2
"great","little",2
"great","meet",2
"great","point",2
"great","run",2
"great","see",2
"great","work",2
"green","eyes",2
"guess","good",2
"guess","just",2
"guess","now",2
"guess","well",2
"guess","whos",2
"guest","list",2
"gulf","cartel",2
"guy","u",2
"guys","can",2
"guys","keep",2
"h","e",2
"ha","ha",2
"ha","rt",2
"haha","love",2
"haha","thats",2
"half","hour",2
"hall","fame",2
"hands","experience",2
"happen","’s",2
"happens","give",2
"happy","happy",2
"happy","help",2
"happy","hour",2
"happy","life",2
"happy","monday",2
"happy","thanksgiving",2
"hard","keep",2
"hate","girl",2
"hate","hate",2
"hate","seems",2
"havent","even",2
"headphones","oddly",2
"hear","see",2
"hear","speak",2
"heard","someone",2
"heart","one",2
"held","part",2
"help","get",2
"help","us",2
"hennepin","county",2
"hey","girl",2
"hey","im",2
"hey","thanks",2
"hide","ya",2
"high","expectations",2
"high","heat",2
"high","speed",2
"hired","<U+0096>",2
"history","class",2
"history","interesting",2
"hit","beach",2
"hit","us",2
"holy","shit",2
"home","get",2
"home","im",2
"home","make",2
"home","miss",2
"home","run",2
"home","sit",2
"home","think",2
"home","town",2
"home","will",2
"hope","great",2
"hope","well",2
"hope","wonderful",2
"hopefully","soon",2
"hour","ahead",2
"hour","later",2
"hours","practice",2
"house","day",2
"house","party",2
"human","species",2
"hunger","games",2
"hunter","matt",2
"id","happy",2
"id","like",2
"id","rather",2
"id","say",2
"idea","going",2
"idea","rt",2
"ill","always",2
"ill","eat",2
"ill","give",2
"ill","post",2
"ill","probably",2
"ill","remember",2
"ill","say",2
"ill","send",2
"ill","stop",2
"ill","tell",2
"ill","try",2
"im","already",2
"im","angry",2
"im","back",2
"im","caught",2
"im","coming",2
"im","confused",2
"im","currently",2
"im","feeling",2
"im","gettin",2
"im","guessing",2
"im","hungry",2
"im","im",2
"im","late",2
"im","loving",2
"im","open",2
"im","planning",2
"im","proud",2
"im","ready",2
"im","scared",2
"im","sleepy",2
"im","still",2
"im","taking",2
"im","talking",2
"im","totally",2
"im","wearing",2
"im","writing",2
"im","wrong",2
"imma","go",2
"immune","system",2
"important","urgent",2
"including","one",2
"increase","awareness",2
"info","can",2
"information","can",2
"information","first",2
"information","regarding",2
"inked","tattooing",2
"inside","zippered",2
"inspired","message",2
"inspired","work",2
"interested","start",2
"interesting","things",2
"interior","design",2
"interpret","music",2
"iphone","s",2
"ish","inches",2
"isnt","even",2
"isnt","much",2
"ive","working",2
"jam","packed",2
"james","bond",2
"jean","jacques",2
"jermyn","st",2
"john","cena",2
"johnny","ronan",2
"joining","us",2
"journalists","will",2
"june","th",2
"just","another",2
"just","around",2
"just","barely",2
"just","can",2
"just","doesnt",2
"just","dont",2
"just","ended",2
"just","glad",2
"just","go",2
"just","keep",2
"just","kept",2
"just","leaving",2
"just","let",2
"just","love",2
"just","made",2
"just","many",2
"just","need",2
"just","nice",2
"just","played",2
"just","received",2
"just","recently",2
"just","say",2
"just","second",2
"just","see",2
"just","something",2
"just","started",2
"just","stay",2
"just","things",2
"just","thinking",2
"just","try",2
"just","use",2
"just","watched",2
"just","watching",2
"just","went",2
"just","won",2
"k","pop",2
"keep","good",2
"keep","great",2
"keep","head",2
"keep","posted",2
"keep","putting",2
"keep","real",2
"keep","things",2
"keep","trying",2
"keep","tweeting",2
"kendrick","perkins",2
"kick","back",2
"killed","wounded",2
"kind","novel",2
"kitchen","sink",2
"knew","exactly",2
"knew","existed",2
"knock","shit",2
"know","’ll",2
"know","’s",2
"know","anymore",2
"know","better",2
"know","even",2
"know","ive",2
"know","love",2
"know","make",2
"know","many",2
"know","mean",2
"know","missed",2
"know","need",2
"know","one",2
"know","place",2
"know","said",2
"know","well",2
"know","whats",2
"know","whole",2
"know","writing",2
"know","youd",2
"known","dwayne",2
"kolsch","style",2
"la","la",2
"lady","gaga",2
"large","scale",2
"last","book",2
"last","days",2
"last","minutes",2
"last","months",2
"last","question",2
"last","tweet",2
"laundry","room",2
"law","enforcement",2
"law","land",2
"lawn","chair",2
"layer","melted",2
"laying","middle",2
"leans","forward",2
"learn","new",2
"learn","play",2
"learned","much",2
"learning","hard",2
"least","days",2
"least","little",2
"least","one",2
"lebron","james",2
"left","behind",2
"legal","system",2
"lemon","bundt",2
"lemons","lemon",2
"let","clear",2
"let","cool",2
"let","em",2
"let","love",2
"lets","set",2
"life","awakened",2
"life","goes",2
"life","good",2
"life","im",2
"life","like",2
"life","make",2
"like","“",2
"like","back",2
"like","better",2
"like","call",2
"like","crazy",2
"like","daddy",2
"like","dont",2
"like","gift",2
"like","green",2
"like","happens",2
"like","join",2
"like","might",2
"like","movie",2
"like","never",2
"like","paris",2
"like","pay",2
"like","said",2
"like","see",2
"like","talk",2
"like","thats",2
"like","ur",2
"like","use",2
"like","using",2
"liked","better",2
"likely","die",2
"likes","go",2
"lime","bitters",2
"limited","time",2
"line","youre",2
"lion","head",2
"list","making",2
"list","new",2
"little","late",2
"little","people",2
"little","room",2
"little","will",2
"live","life",2
"live","music",2
"living","life",2
"living","room",2
"llc","amazon",2
"lol","good",2
"lol","just",2
"long","enough",2
"long","range",2
"long","way",2
"look","great",2
"look","thanks",2
"looked","back",2
"looked","like",2
"looking","new",2
"looks","good",2
"looks","interesting",2
"looks","way",2
"looped","dixieland",2
"lost","translation",2
"lot","crazy",2
"lot","learn",2
"lot","shit",2
"lot","two",2
"lotfp","grindhouse",2
"lots","fun",2
"lounge","music",2
"love","austin",2
"love","blog",2
"love","children",2
"love","come",2
"love","free",2
"love","hate",2
"love","hear",2
"love","meet",2
"love","seeing",2
"love","though",2
"love","true",2
"love","us",2
"lovely","time",2
"low","priced",2
"lucky","girl",2
"m","f",2
"made","little",2
"magic","show",2
"mail","dot",2
"main","reason",2
"major","issues",2
"make","another",2
"make","better",2
"make","book",2
"make","cones",2
"make","difference",2
"make","everyone",2
"make","excuses",2
"make","happen",2
"make","happy",2
"make","mistakes",2
"make","something",2
"make","way",2
"make","weekend",2
"make","work",2
"makes","animal",2
"male","character",2
"man","lol",2
"many","children",2
"many","followers",2
"many","good",2
"many","women",2
"many","young",2
"maple","syrup",2
"march","st",2
"mark","calendars",2
"mark","time",2
"mass","murderer",2
"may","day",2
"may","enjoy",2
"may","never",2
"may","read",2
"maybe","can",2
"mcdonald","said",2
"meal","plans",2
"mean","u",2
"means","time",2
"medical","center",2
"medium","full",2
"medium","heat",2
"medium","high",2
"meet","wednesday",2
"meetings","expensive",2
"members","can",2
"memorial","day",2
"mental","health",2
"merry","christmas",2
"messages","can",2
"met","said",2
"might","able",2
"might","find",2
"might","giants",2
"might","just",2
"might","something",2
"mighty","save",2
"milk","honey",2
"miller","park",2
"minutes","add",2
"minutes","flight",2
"miss","much",2
"moan","moan",2
"mobile","portable",2
"money","government",2
"month","reading",2
"months","old",2
"morning","haha",2
"morning","love",2
"mostly","thought",2
"mother","doesnt",2
"motorcycle","seat",2
"moving","forward",2
"mr","webb",2
"much","everyone",2
"much","follow",2
"much","go",2
"much","higher",2
"much","just",2
"much","will",2
"much","work",2
"murder","counts",2
"myspace","facebook",2
"name","now",2
"napa","valley",2
"nathanonearth","g",2
"national","anthem",2
"nba","player",2
"near","feet",2
"near","future",2
"nearly","two",2
"nearly","upon",2
"need","cut",2
"need","document",2
"need","find",2
"need","give",2
"need","motivation",2
"need","new",2
"need","one",2
"need","put",2
"need","step",2
"need","think",2
"need","wait",2
"never","fan",2
"never","find",2
"never","give",2
"never","going",2
"never","got",2
"never","happen",2
"never","happened",2
"never","heard",2
"never","let",2
"never","never",2
"never","question",2
"never","see",2
"new","business",2
"new","exciting",2
"new","home",2
"new","members",2
"new","songs",2
"new","zealand",2
"next","morning",2
"next","phase",2
"next","release",2
"nice","feel",2
"nice","im",2
"nice","work",2
"night","great",2
"night","march",2
"night","special",2
"nine","year",2
"non","stick",2
"nope","just",2
"normal","looking",2
"normal","people",2
"nothing","can",2
"nothing","like",2
"nothing","unusual",2
"nothing","will",2
"now","’m",2
"now","believe",2
"now","days",2
"now","go",2
"now","going",2
"now","gone",2
"now","isnt",2
"now","though",2
"now","whats",2
"now","working",2
"number","attacks",2
"number","phone",2
"o","rt",2
"oak","trees",2
"occam’s","razor",2
"occu","pies",2
"oct","th",2
"office","space",2
"oh","beautiful",2
"oh","god",2
"oh","right",2
"oh","shit",2
"oh","wait",2
"oh","yeah",2
"oh","youre",2
"oil","gas",2
"ok","got",2
"okay","ill",2
"okay","okay",2
"old","adage",2
"old","kenneth",2
"old","lady",2
"old","son",2
"old","today",2
"omg","obama",2
"omg","omg",2
"one","afternoon",2
"one","days",2
"one","ever",2
"one","final",2
"one","friend",2
"one","girls",2
"one","good",2
"one","hundred",2
"one","important",2
"one","interesting",2
"one","knows",2
"one","named",2
"one","new",2
"one","nice",2
"one","orange",2
"one","people",2
"one","prevails",2
"one","really",2
"one","reason",2
"one","red",2
"one","said",2
"one","sitting",2
"one","think",2
"one","top",2
"one","want",2
"one","week",2
"one","yet",2
"ones","just",2
"open","every",2
"order","make",2
"osama","bin",2
"outkast","fan",2
"p","haha",2
"parents","grandparents",2
"paris","review",2
"pastor","father",2
"pastry","cream",2
"pay","back",2
"people","–",2
"people","assume",2
"people","bad",2
"people","can",2
"people","care",2
"people","ireland",2
"people","laugh",2
"people","maintain",2
"people","need",2
"people","often",2
"people","really",2
"people","see",2
"people","smells",2
"people","take",2
"people","tell",2
"people","time",2
"people","will",2
"perfect","timing",2
"person","’s",2
"person","also",2
"person","know",2
"phone","call",2
"phone","calls",2
"phone","didnt",2
"phone","line",2
"phone","time",2
"phones","plus",2
"photo","albums",2
"pick","book",2
"piece","food",2
"piece","together",2
"pirates","penzance",2
"piss","piss",2
"plane","can",2
"plane","ride",2
"platform","hired",2
"play","basketball",2
"play","ground",2
"play","tonight",2
"playing","pool",2
"please","dont",2
"please","give",2
"please","keep",2
"please","let",2
"please","see",2
"please","stop",2
"pm","eastern",2
"pm","et",2
"point","view",2
"policy","food",2
"political","economic",2
"polymer","plates",2
"pop","culture",2
"pork","chops",2
"possibly","can",2
"post","christmas",2
"post","graduation",2
"post","holiday",2
"post","later",2
"post","natal",2
"post","secondary",2
"post","will",2
"practice","novel",2
"pray","pray",2
"pre","orders",2
"president","obama",2
"pretty","big",2
"pretty","great",2
"pretty","simple",2
"price","speaking",2
"primary","goal",2
"private","sector",2
"privately","inked",2
"probably","even",2
"probably","get",2
"providing","good",2
"public","private",2
"public","voice",2
"pumpkin","pie",2
"punch","face",2
"push","button",2
"put","new",2
"quarter","century",2
"queen’s","birthday",2
"quite","bit",2
"quite","sure",2
"quote","day",2
"quote","nietzsche",2
"r","b",2
"rabbits","raised",2
"raise","money",2
"read","blog",2
"read","can",2
"reading","books",2
"reading","digital",2
"ready","go",2
"ready","ipv",2
"ready","plant",2
"ready","spring",2
"real","name",2
"real","quick",2
"real","world",2
"really","’s",2
"really","dont",2
"really","enjoyed",2
"really","enjoying",2
"really","get",2
"really","great",2
"really","helped",2
"really","important",2
"really","just",2
"really","know",2
"really","liked",2
"really","one",2
"really","pretty",2
"really","see",2
"rear","wheel",2
"reason","another",2
"reason","im",2
"recent","years",2
"recently","got",2
"record","store",2
"red","box",2
"reduced","discrimination",2
"regarding","traffic",2
"relax","springbreak",2
"release","date",2
"release","party",2
"remember","dreaming",2
"remember","put",2
"remember","time",2
"remember","two",2
"rental","companies",2
"repeat","rows",2
"report","back",2
"repress","repress",2
"responsibility","actions",2
"rest","us",2
"return","faculty",2
"rg","sama",2
"richard","barrett",2
"right","“",2
"right","behind",2
"right","lol",2
"right","peplum",2
"risk","others",2
"rock","star",2
"roe","deer",2
"role","models",2
"rolly","yale",2
"rouuughh","asdghjkl",2
"rt","happy",2
"rt","im",2
"rt","know",2
"rt","love",2
"rt","much",2
"rt","please",2
"rt","q",2
"rt","thanks",2
"rt","u",2
"run","home",2
"running","around",2
"sad","im",2
"said","done",2
"said","goodbye",2
"said","hell",2
"said","just",2
"said","something",2
"said","think",2
"said","wanted",2
"saint","hedwig",2
"san","diego",2
"san","jose",2
"sandwich","fries",2
"save","lot",2
"saw","one",2
"say","“",2
"say","dont",2
"say","im",2
"say","maybe",2
"say","one",2
"say","something",2
"say","well",2
"say","yes",2
"saying","just",2
"school","community",2
"school","library",2
"school","well",2
"schools","businesses",2
"season","finale",2
"seat","automatically",2
"second","highest",2
"second","thoughts",2
"second","time",2
"see","everyday",2
"see","feb",2
"see","happens",2
"see","people",2
"see","pictures",2
"see","something",2
"see","tweets",2
"see","well",2
"see","whats",2
"see","ya",2
"seeking","bring",2
"seem","get",2
"seen","first",2
"seen","girl",2
"self","deception",2
"sense","accomplishment",2
"sense","can",2
"sense","peace",2
"services","llc",2
"serving","”",2
"set","schedule",2
"several","hundred",2
"several","items",2
"several","people",2
"sexual","desire",2
"shall","see",2
"shes","just",2
"short","story",2
"shot","back",2
"show","movie",2
"shown","us",2
"shows","guys",2
"side","comes",2
"signed","w",2
"since","never",2
"sister","love",2
"six","months",2
"skies","get",2
"skinny","p",2
"slave","woman",2
"sleep","better",2
"slept","today",2
"slider","boxes",2
"small","group",2
"small","room",2
"smart","phones",2
"smh","lol",2
"smile","face",2
"smokestack","series",2
"smoothly","something",2
"soda","water",2
"sold","decreased",2
"solution","problem",2
"someone","know",2
"something","else",2
"something","goes",2
"something","happens",2
"something","keep",2
"something","must",2
"something","new",2
"sonic","ice",2
"soon","discovered",2
"sorry","people",2
"sort","stuff",2
"sound","advice",2
"speaking","one",2
"speaking","truth",2
"special","effects",2
"spending","money",2
"spent","years",2
"spirit","element",2
"sports","entertainment",2
"spread","word",2
"spring","summer",2
"st","birthday",2
"st","patricks",2
"st","round",2
"st","time",2
"stack","hay",2
"starfire","angels",2
"start","crying",2
"start","day",2
"start","hate",2
"start","may",2
"start","next",2
"start","peoplere",2
"start","think",2
"start","will",2
"started","back",2
"starting","day",2
"starting","get",2
"state","union",2
"state","university",2
"status","quo",2
"step","scale",2
"step","step",2
"step","two",2
"still","know",2
"still","make",2
"still","need",2
"still","time",2
"stock","pot",2
"stop","shop",2
"store","day",2
"story","’s",2
"story","im",2
"story","share",2
"story","told",2
"story","will",2
"street","address",2
"street","sign",2
"stud","fee",2
"student","performance",2
"study","need",2
"style","icon",2
"style","kolsch",2
"summer","ale",2
"support","system",2
"support","way",2
"sure","get",2
"sure","ill",2
"surely","soldiers",2
"surprised","find",2
"surprised","learn",2
"survival","horror",2
"sybil","boddington",2
"take","always",2
"take","breath",2
"take","easy",2
"take","photo",2
"take","pictures",2
"take","responsibility",2
"take","time",2
"take","two",2
"taken","long",2
"takes","place",2
"takes","seconds",2
"taking","place",2
"taking","two",2
"talk","shop",2
"tall","white",2
"taylor","swift",2
"teaspoon","sugar",2
"technical","education",2
"tell","can’t",2
"tell","everything",2
"tell","head",2
"tell","people",2
"tell","two",2
"tell","world",2
"tell","ya",2
"th","anniversary",2
"th","grade",2
"thank","coming",2
"thank","people",2
"thank","u",2
"thank","yous",2
"thankfully","im",2
"thanks","coming",2
"thanks","glad",2
"thanks","great",2
"thanks","guys",2
"thanks","heads",2
"thanks","letting",2
"thanks","rts",2
"thats","best",2
"thats","cool",2
"thats","good",2
"thats","im",2
"thats","important",2
"thats","just",2
"thats","really",2
"thats","right",2
"thats","something",2
"thats","true",2
"theres","good",2
"theres","one",2
"thing","dont",2
"thing","ive",2
"thing","man",2
"thing","matters",2
"things","didnt",2
"things","different",2
"things","going",2
"things","know",2
"things","life",2
"things","like",2
"things","really",2
"things","think",2
"things","want",2
"think","going",2
"think","hard",2
"think","ill",2
"think","might",2
"think","need",2
"think","well",2
"thinks","looks",2
"though","fight",2
"though","havent",2
"though","one",2
"thought","funny",2
"three","days",2
"three","four",2
"three","months",2
"three","weeks",2
"thriller","will",2
"thursday","afternoon",2
"thursday","night",2
"thus","far",2
"till","tomorrow",2
"time","also",2
"time","another",2
"time","day",2
"time","enjoy",2
"time","ever",2
"time","get",2
"time","ill",2
"time","just",2
"time","keeping",2
"time","kept",2
"time","know",2
"time","leave",2
"time","make",2
"time","making",2
"time","since",2
"time","start",2
"time","stop",2
"time","talk",2
"time","today",2
"time","without",2
"time","write",2
"times","desperate",2
"times","sure",2
"tip","day",2
"today","can",2
"today","cant",2
"today","day",2
"today","family",2
"today","kick",2
"together","can",2
"told","better",2
"tolerance","policy",2
"tomorrow","can",2
"tomorrow","going",2
"tomorrow","pm",2
"tonight","fun",2
"tonight","pm",2
"took","girls",2
"took","time",2
"top","quality",2
"totally","agree",2
"tourist","destinations",2
"translating","wins",2
"trash","recycling",2
"trick","question",2
"tried","direct",2
"tried","get",2
"tried","unsuccessfully",2
"truly","horrid",2
"truth","even",2
"truth","im",2
"try","find",2
"try","get",2
"try","keep",2
"try","something",2
"trying","convince",2
"trying","escape",2
"trying","kill",2
"tv","show",2
"tweets","follow",2
"twitter","email",2
"twitter","just",2
"twitter","people",2
"twitter","right",2
"two","dots",2
"two","half",2
"two","people",2
"two","year",2
"u","can",2
"u","dont",2
"u","help",2
"u","like",2
"u","love",2
"u","much",2
"u","really",2
"ugly","bitch",2
"uh","caroling",2
"ultimate","pro",2
"unconditional","love",2
"und","der",2
"underground","level",2
"understand","people",2
"university","chicago",2
"upon","us",2
"ur","tweets",2
"urge","get",2
"us","back",2
"us","cover",2
"us","ð<U+009F><U+0098><U+0083>",2
"us","feel",2
"us","government",2
"us","great",2
"us","hope",2
"us","let",2
"us","live",2
"us","see",2
"us","take",2
"us","us",2
"use","make",2
"use","twitter",2
"use","word",2
"used","recipe",2
"vaccine","science",2
"veda","vyasa",2
"veryone","talking",2
"vice","president",2
"virtual","university",2
"vuorg","calendar",2
"w","great",2
"wait","last",2
"waited","waited",2
"walk","away",2
"walking","parking",2
"wanna","know",2
"wanna","say",2
"wanna","see",2
"want","always",2
"want","cook",2
"want","hear",2
"want","keep",2
"want","knock",2
"want","life",2
"want","one",2
"want","people",2
"want","say",2
"want","talk",2
"want","want",2
"want","win",2
"wanted","ask",2
"wanted","keep",2
"wanted","see",2
"wants","see",2
"warm","ups",2
"wastersyou","don’t",2
"watch","party",2
"watching","dream",2
"watching","tv",2
"watching","us",2
"water","slides",2
"way","back",2
"way","can",2
"way","home",2
"way","many",2
"way","much",2
"way","room",2
"way","start",2
"way","tossed",2
"way","want",2
"way”","said",2
"ways","improve",2
"ways","may",2
"wear","shorts",2
"wed","love",2
"wedding","day",2
"weekly","meetings",2
"weeks","go",2
"weigh","pounds",2
"welcome","im",2
"welcome","thanks",2
"well","done",2
"well","find",2
"well","first",2
"well","get",2
"well","however",2
"well","worth",2
"well","youre",2
"went","back",2
"wewontworkout","dont",2
"whatever","happened",2
"whats","happening",2
"whenever","think",2
"white","candles",2
"whitney","houston",2
"whole","page",2
"whole","two",2
"will","able",2
"will","also",2
"will","call",2
"will","continue",2
"will","different",2
"will","dream",2
"will","end",2
"will","first",2
"will","forever",2
"will","gladly",2
"will","good",2
"will","great",2
"will","help",2
"will","kill",2
"will","know",2
"will","live",2
"will","lose",2
"will","make",2
"will","missed",2
"will","playing",2
"will","read",2
"will","report",2
"will","say",2
"will","set",2
"will","still",2
"will","support",2
"will","turn",2
"will","using",2
"will","work",2
"willy","nilly",2
"wish","everyone",2
"wish","going",2
"wish","knew",2
"wish","luck",2
"wishing","best",2
"within","two",2
"without","saying",2
"woman","born",2
"women","–",2
"wonderful","things",2
"word","god",2
"work","awesome",2
"work","day",2
"work","done",2
"work","even",2
"work","little",2
"work","see",2
"work","time",2
"work","together",2
"worked","day",2
"worked","hard",2
"working","late",2
"working","new",2
"working","now",2
"working","us",2
"world","class",2
"world","im",2
"world","peace",2
"world","warcraft",2
"worried","get",2
"worst","shit",2
"worth","waiting",2
"write","something",2
"writing","now",2
"wrote","book",2
"x","chromosome",2
"x","inch",2
"y","chromosome",2
"yea","im",2
"yeah","got",2
"yeah","know",2
"yeah","yeah",2
"year","ago",2
"year","really",2
"year","thought",2
"years","can",2
"years","come",2
"years","mil",2
"years","older",2
"years","resolution",2
"yes","answer",2
"yes","can",2
"yes","maam",2
"yes","one",2
"yes","sir",2
"yes","will",2
"yes","yes",2
"yesterday","morning",2
"yet","can",2
"yoga","class",2
"york","city",2
"youll","need",2
"young","age",2
"young","men",2
"young","sons",2
"young","woman",2
"youre","interested",2
"youre","just",2
"youre","still",2
"youre","twitter",2
"youre","wonderful",2
"youth","beauty",2
"yrs","ago",2
"zero","tolerance",2
"zombie","movies",2
"zuhair","murad",2
